batch 100, train_loss 379.911621,Time used 0.026997s
***************************test_batch 3700, test_rmse_loss 7.559940,test_mae_loss 3.291623,test_mape_loss 53.698560,Time used 0.121002s
batch 3800, train_loss 37.028576,Time used 0.039003s
***************************test_batch 3800, test_rmse_loss 7.538668,test_mae_loss 3.278026,test_mape_loss 52.815398,Time used 0.125999s
batch 3900, train_loss 40.551075,Time used 0.036999s
***************************test_batch 3900, test_rmse_loss 7.371023,test_mae_loss 3.206659,test_mape_loss 52.027665,Time used 0.124000s
batch 4000, train_loss 39.830551,Time used 0.045998s
***************************test_batch 4000, test_rmse_loss 7.311890,test_mae_loss 3.198348,test_mape_loss 50.327885,Time used 0.136002s
batch 4100, train_loss 35.202633,Time used 0.038003s
***************************test_batch 4100, test_rmse_loss 6.963649,test_mae_loss 3.093560,test_mape_loss 51.089394,Time used 0.147001s
batch 4200, train_loss 32.975037,Time used 0.039001s
***************************test_batch 4200, test_rmse_loss 6.999233,test_mae_loss 3.080384,test_mape_loss 49.526102,Time used 0.122001s
batch 4300, train_loss 35.681866,Time used 0.036001s
***************************test_batch 4300, test_rmse_loss 6.955737,test_mae_loss 3.072765,test_mape_loss 49.043067,Time used 0.129007s
batch 4400, train_loss 35.923203,Time used 0.037000s
***************************test_batch 4400, test_rmse_loss 6.847377,test_mae_loss 3.030939,test_mape_loss 49.968773,Time used 0.119002s
batch 4500, train_loss 37.998108,Time used 0.062002s
***************************test_batch 4500, test_rmse_loss 6.845205,test_mae_loss 3.049218,test_mape_loss 48.433543,Time used 0.150998s
batch 4600, train_loss 31.097963,Time used 0.039001s
***************************test_batch 4600, test_rmse_loss 6.757768,test_mae_loss 3.015948,test_mape_loss 48.909552,Time used 0.124001s
batch 4700, train_loss 31.513321,Time used 0.038001s
***************************test_batch 4700, test_rmse_loss 6.775633,test_mae_loss 3.011641,test_mape_loss 49.072819,Time used 0.127999s
batch 4800, train_loss 27.744717,Time used 0.041000s
***************************test_batch 4800, test_rmse_loss 6.615430,test_mae_loss 2.954865,test_mape_loss 49.128355,Time used 0.131005s
batch 4900, train_loss 31.381350,Time used 0.037001s
***************************test_batch 4900, test_rmse_loss 6.577449,test_mae_loss 2.934678,test_mape_loss 48.669911,Time used 0.118000s
batch 5000, train_loss 31.490803,Time used 0.042992s
***************************test_batch 5000, test_rmse_loss 6.596698,test_mae_loss 2.946983,test_mape_loss 48.676662,Time used 0.128999s
batch 5100, train_loss 30.868280,Time used 0.038000s
***************************test_batch 5100, test_rmse_loss 6.526977,test_mae_loss 2.916406,test_mape_loss 47.901290,Time used 0.118001s
batch 5200, train_loss 28.821020,Time used 0.041001s
***************************test_batch 5200, test_rmse_loss 6.564611,test_mae_loss 2.922179,test_mape_loss 47.680436,Time used 0.132000s
batch 5300, train_loss 24.590733,Time used 0.041995s
***************************test_batch 5300, test_rmse_loss 6.424854,test_mae_loss 2.879810,test_mape_loss 48.085631,Time used 0.136000s
batch 5400, train_loss 28.512548,Time used 0.048998s
